,Name,Neighborhood,Review Count,Rating,Type,Longitude,Latitude
250,Brasa Roja,ALBANY PARK,258,4.0,Latin American,-87.7161739,41.9719367
251,Hala In Restaurant,ALBANY PARK,266,4.0,Middle Eastern,-87.7161739,41.9719367
252,Hala In Restaurant,ALBANY PARK,266,4.0,Arabian,-87.7161739,41.9719367
253,Angelo's Wine Bar,ALBANY PARK,245,4.0,Italian,-87.7161739,41.9719367
254,Angelo's Wine Bar,ALBANY PARK,245,4.0,Cocktail Bars,-87.7161739,41.9719367
255,Angelo's Wine Bar,ALBANY PARK,245,4.0,Wine Bars,-87.7161739,41.9719367
258,Smoque BBQ,ALBANY PARK,3889,4.5,Barbeque,-87.7161739,41.9719367
259,Noon O Kabab,ALBANY PARK,906,4.0,Persian/Iranian,-87.7161739,41.9719367
260,Noon O Kabab,ALBANY PARK,906,4.0,Mediterranean,-87.7161739,41.9719367
261,Kabobi Grill,ALBANY PARK,479,4.5,Mediterranean,-87.7161739,41.9719367
262,Kabobi Grill,ALBANY PARK,479,4.5,Persian/Iranian,-87.7161739,41.9719367
263,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chinese,-87.7161739,41.9719367
264,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chicken Wings,-87.7161739,41.9719367
265,Semiramis,ALBANY PARK,521,4.0,Lebanese,-87.7161739,41.9719367
266,Semiramis,ALBANY PARK,521,4.0,Soup,-87.7161739,41.9719367
267,Semiramis,ALBANY PARK,521,4.0,Sandwiches,-87.7161739,41.9719367
268,Cafe Orient 33,ALBANY PARK,196,4.5,Korean,-87.7161739,41.9719367
269,Cafe Orient 33,ALBANY PARK,196,4.5,Chicken Wings,-87.7161739,41.9719367
270,Cafe Orient 33,ALBANY PARK,196,4.5,Seafood,-87.7161739,41.9719367
271,Ruby's Fast Food,ALBANY PARK,218,4.5,Filipino,-87.7161739,41.9719367
272,Ruby's Fast Food,ALBANY PARK,218,4.5,Buffets,-87.7161739,41.9719367
273,Ruby's Fast Food,ALBANY PARK,218,4.5,Fast Food,-87.7161739,41.9719367
274,Ay Ay Picante,ALBANY PARK,540,4.0,Seafood,-87.7161739,41.9719367
275,Ay Ay Picante,ALBANY PARK,540,4.0,Peruvian,-87.7161739,41.9719367
276,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Pubs,-87.7161739,41.9719367
277,Kuma's Corner - Belmont,ALBANY PARK,4915,4.0,Burgers,-87.7161739,41.9719367
278,Bryn Mawr Breakfast Club,ALBANY PARK,667,4.5,Breakfast & Brunch,-87.7161739,41.9719367
279,Afghan Kabob,ALBANY PARK,259,4.5,Middle Eastern,-87.7161739,41.9719367
280,Afghan Kabob,ALBANY PARK,259,4.5,Afghan,-87.7161739,41.9719367
281,Hot Dog Station,ALBANY PARK,160,4.5,Hot Dogs,-87.7161739,41.9719367
282,Hot Dog Station,ALBANY PARK,160,4.5,Burgers,-87.7161739,41.9719367
283,Tre Kronor,ALBANY PARK,684,4.0,Breakfast & Brunch,-87.7161739,41.9719367
284,Tre Kronor,ALBANY PARK,684,4.0,Desserts,-87.7161739,41.9719367
285,Tre Kronor,ALBANY PARK,684,4.0,Scandinavian,-87.7161739,41.9719367
286,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Vietnamese,-87.7161739,41.9719367
287,Nhu Lan Saigon Subs,ALBANY PARK,778,4.5,Bakeries,-87.7161739,41.9719367
288,Salam Restaurant,ALBANY PARK,530,4.0,Middle Eastern,-87.7161739,41.9719367
289,Salam Restaurant,ALBANY PARK,530,4.0,Mediterranean,-87.7161739,41.9719367
290,Salam Restaurant,ALBANY PARK,530,4.0,Halal,-87.7161739,41.9719367
291,LD Pho,ALBANY PARK,146,4.5,Vietnamese,-87.7161739,41.9719367
292,Ixcateco Grill,ALBANY PARK,159,4.5,Mexican,-87.7161739,41.9719367
293,Brasa Roja,ALBANY PARK,258,4.0,Latin American,-87.7161739,41.9719367
294,Hala In Restaurant,ALBANY PARK,266,4.0,Middle Eastern,-87.7161739,41.9719367
295,Hala In Restaurant,ALBANY PARK,266,4.0,Arabian,-87.7161739,41.9719367
296,Angelo's Wine Bar,ALBANY PARK,245,4.0,Italian,-87.7161739,41.9719367
297,Angelo's Wine Bar,ALBANY PARK,245,4.0,Cocktail Bars,-87.7161739,41.9719367
298,Angelo's Wine Bar,ALBANY PARK,245,4.0,Wine Bars,-87.7161739,41.9719367
301,Smoque BBQ,ALBANY PARK,3889,4.5,Barbeque,-87.7161739,41.9719367
302,Noon O Kabab,ALBANY PARK,906,4.0,Persian/Iranian,-87.7161739,41.9719367
303,Noon O Kabab,ALBANY PARK,906,4.0,Mediterranean,-87.7161739,41.9719367
304,Kabobi Grill,ALBANY PARK,479,4.5,Mediterranean,-87.7161739,41.9719367
305,Kabobi Grill,ALBANY PARK,479,4.5,Persian/Iranian,-87.7161739,41.9719367
306,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chinese,-87.7161739,41.9719367
307,Great Sea Chinese Restaurant,ALBANY PARK,656,4.0,Chicken Wings,-87.7161739,41.9719367
308,Semiramis,ALBANY PARK,521,4.0,Lebanese,-87.7161739,41.9719367
309,Semiramis,ALBANY PARK,521,4.0,Soup,-87.7161739,41.9719367
